iterationNum,error,c_params
34,0.0021406244328861573,1.0553872086471527 0.9722739649644898 1.0335954636291316 0.9902289606738618 0.994070083136296 0.9684379143144985 0.9982430461543649 1.0 1.0 1.055391745250361 0.9722709176620844 1.0336009499143999 0.990226481337263 0.994067079825806 0.9684379242227239 0.9982422581659163 1.0 1.0
35,0.002138896420230107,1.0555103068067768 0.9721169109434532 1.0334872342277617 0.9903912617228829 0.9941446521472559 0.9683690227544373 0.9982449561874956 1.0 1.0 1.0555149926785494 0.9721133096472708 1.033493218867552 0.990389974265564 0.9941414413889427 0.9683688168255478 0.9982447354512775 1.0 1.0
36,0.002137321824025872,1.0556266720908971 0.9719662705970974 1.0333827579837376 0.9905462270728996 0.9942151525792688 0.9683024977566498 0.9982467470260544 1.0 1.0 1.0556313343327508 0.9719625190344464 1.0333886381599788 0.9905451338487191 0.994212063382771 0.968302361653017 0.9982462624593612 1.0 1.0
37,0.002135889048847545,1.0557367285075006 0.9718216848477486 1.0332825291075236 0.9906931772815236 0.9942815308678487 0.9682384908708398 0.998247757056702 1.0 1.0 1.0557424177345598 0.9718178459090454 1.0332889133160779 0.9906922028927647 0.9942786257493715 0.9682378644607278 0.9982476887865459 1.0 1.0
38,0.002134583717633228,1.0558413587244189 0.9716832770491894 1.0331860798972536 0.9908326123827028 0.9943446388594995 0.9681769774172652 0.9982487102562885 1.0 1.0 1.0558477714781638 0.9716794623441414 1.0331924526583716 0.990832274112488 0.9943420471176203 0.9681763641340839 0.9982485634151201 1.0 1.0
39,0.0021333939984218594,1.055940874474341 0.9715497067578424 1.0330935797427758 0.9909651121571375 0.9944041802685271 0.9681175041639042 0.9982494246889142 1.0 1.0 1.0559481532106938 0.9715463246868299 1.0331004339541345 0.9909648469932559 0.9944015159063353 0.968116942644959 0.9982492740160288 1.0 1.0
40,0.0021323104545190124,1.0560356600356446 0.9714230574754924 1.0330043839085705 0.9910918914491655 0.994460924623208 0.9680602468932339 0.998249959197545 1.0 1.0 1.0560424288651598 0.9714194896109968 1.0330114455918813 0.9910914103786428 0.9944582063571324 0.9680595252742639 0.9982504129867894 1.0 1.0
41,0.0021313241246124904,1.056125637092249 0.9713014544722122 1.0329192853881115 0.99121187301815 0.9945144355095896 0.9680051384271674 0.9982492984733733 1.0 1.0 1.0561326670712112 0.9712979032983972 1.0329258162519677 0.9912113851463493 0.9945117062504505 0.9680045221443658 0.9982502418907687 1.0 1.0
42,0.0021304265531807407,1.056210529504099 0.9711846880470295 1.0328369574844318 0.9913252454254914 0.9945648136431097 0.9679519108682676 0.9982487638670402 1.0 1.0 1.0562171125954156 0.9711804003287401 1.0328437394633225 0.991324822058802 0.9945620435450284 0.9679509692354431 0.9982499092449449 1.0 1.0
43,0.0021296071006024603,1.056292187528337 0.9710727825880727 1.0327585817215958 0.9914340017148812 0.9946127132630121 0.9679007656845959 0.9982484103429377 1.0 1.0 1.0562980122056476 0.971068275935482 1.032765056195415 0.9914331026845622 0.9946101302656072 0.9679002150817734 0.9982495034320726 1.0 1.0
44,0.0021288608755943733,1.0563689297826448 0.9709661890811722 1.0326838787082295 0.9915379022388242 0.9946583629598083 0.9678518482473171 0.9982481890148027 1.0 1.0 1.05637547966295 0.970961977144807 1.0326895557727318 0.9915374019950225 0.9946555290077553 0.9678508658403671 0.9982493330823865 1.0 1.0
45,0.0021281823443633843,1.0564420241805699 0.9708637654425151 1.0326112485402748 0.991635362356747 0.9947010920682993 0.9678044559640203 0.9982476547974364 1.0 1.0 1.0564486718827393 0.9708598528876743 1.0326174058820512 0.9916355647841756 0.9946989759992064 0.967803661102918 0.9982487838289008 1.0 1.0
46,0.0021275640943854103,1.0565114503479602 0.9707655815835032 1.032541874336281 0.9917285179707713 0.9947421352747925 0.9677593521289569 0.9982469282189025 1.0 1.0 1.0565178984272545 0.9707621663941739 1.0325481477554728 0.9917291031964738 0.9947399360909343 0.9677584464064823 0.9982482250915871 1.0 1.0
47,0.0021270014083018085,1.056577744204056 0.9706723860630498 1.0324751897729287 0.9918174142929321 0.9947808472354822 0.967715836982684 0.9982459707346403 1.0 1.0 1.0565840444221568 0.970668698448304 1.0324817627106015 0.9918174379728149 0.9947786702963252 0.9677149170244508 0.9982473333322426 1.0 1.0
48,0.0021264884052374393,1.0566403285522203 0.9705831023695282 1.0324118435068803 0.9919027296900972 0.9948175175197299 0.9676740319394577 0.9982449506717753 1.0 1.0 1.0566469006575367 0.9705792171049645 1.0324181740251528 0.9919019697516913 0.9948154369849458 0.9676733038843073 0.9982459425442624 1.0 1.0
49,0.0021260208555318886,1.0567005880124987 0.9704975411506575 1.0323513968903448 0.991983231067507 0.9948523103320641 0.9676337421965624 0.9982437644783128 1.0 1.0 1.0567071463522555 0.970493973877702 1.032358318184467 0.9919835264641294 0.9948502391108948 0.9676329930467771 0.9982454710807299 1.0 1.0
50,0.0021255956075923116,1.0567569699269999 0.970415031682666 1.0322927662690147 0.9920597223601108 0.994885485043784 0.9675955582252962 0.9982423856376273 1.0 1.0 1.056763180606436 0.970412032144473 1.0322996545802032 0.992059699480102 0.9948834228847703 0.9675948993709068 0.9982439040187306 1.0 1.0
51,0.002125208924703189,1.0568106098552772 0.9703363548057834 1.0322374256412952 0.9921323761965823 0.9949169492603341 0.9675585381714287 0.9982413281249028 1.0 1.0 1.0568165935282468 0.9703340439380876 1.0322432986392953 0.9921320968538582 0.9949149377939805 0.9675580972834471 0.9982426700368369 1.0 1.0
