strain,stress
0.0601,235.27
0.0610,229.61
0.0618,234.44
0.0619,236.44
0.0620,232.30
0.0619,234.95
0.0620,231.03
0.0619,233.79
0.0620,233.91
0.0620,232.60
0.0619,236.11
0.0620,236.23
0.0620,237.51
0.0620,235.01
0.0619,235.63
0.0620,235.95
0.0620,233.97
0.0622,232.85
0.0622,236.90
0.0623,235.83
0.0623,236.19
0.0623,235.84
0.0623,237.14
0.0624,236.71
0.0626,237.44
0.0627,235.81
0.0626,236.32
0.0626,238.76
0.0627,239.03
0.0638,235.50
0.0648,239.95
0.0649,237.57
0.0648,238.72
0.0649,237.53
0.0649,238.36
0.0649,237.25
0.0649,237.91
0.0649,239.80
0.0649,239.76
0.0649,240.51
0.0649,239.32
0.0649,241.03
0.0649,237.73
0.0649,240.28
0.0649,237.32
0.0649,239.98
0.0650,237.37
0.0650,240.45
0.0650,237.80
0.0650,240.72
0.0650,238.55
0.0650,241.17
0.0650,238.62
0.0649,241.12
0.0650,236.73
0.0649,239.05
0.0650,239.59
0.0650,237.57
0.0650,242.18
0.0651,239.05
0.0650,238.09
0.0650,240.20
0.0650,241.22
0.0650,239.80
0.0650,240.20
0.0650,242.72
0.0650,239.23
0.0650,241.84
0.0651,236.80
0.0669,240.28
0.0669,244.40
0.0671,239.27
0.0671,243.64
0.0672,241.63
0.0671,241.44
0.0672,244.04
0.0672,243.50
0.0672,244.74
0.0685,240.82
0.0686,244.32
0.0687,238.88
0.0686,241.46
0.0687,243.58
0.0687,243.73
0.0687,243.26
0.0686,241.39
0.0686,245.92
0.0687,243.63
0.0695,243.63
0.0695,246.06
0.0696,241.73
0.0695,244.39
0.0696,242.60
0.0695,241.11
0.0695,246.03
0.0696,245.81
0.0695,247.24
0.0696,243.06
0.0695,247.58
0.0696,240.52
0.0695,245.61
0.0695,247.95
0.0696,242.72
0.0695,245.58
0.0696,244.99
0.0695,243.38
0.0696,247.47
0.0696,242.34
0.0696,246.45
0.0696,245.13
0.0695,245.26
0.0696,244.79
0.0695,245.45
0.0695,248.52
0.0696,246.95
0.0696,245.78
0.0696,245.92
0.0696,248.19
0.0696,245.68
0.0696,246.46
0.0696,249.63
0.0696,247.19
0.0696,248.58
0.0696,248.43
0.0696,249.61
0.0696,250.25
0.0697,245.92
0.0697,248.34
0.0698,247.79
0.0710,245.99
0.0723,250.46
0.0723,248.97
0.0723,248.43
0.0723,251.16
0.0725,244.98
0.0723,247.87
0.0723,250.94
0.0723,250.63
0.0723,252.46
0.0724,249.78
0.0724,250.76
0.0724,248.92
0.0724,248.83
0.0724,250.92
0.0724,251.08
0.0727,250.16
0.0734,251.39
0.0746,249.36
0.0759,250.74
0.0760,252.02
0.0761,252.16
0.0761,251.84
0.0761,251.86
0.0762,250.51
0.0761,249.80
0.0761,253.34
0.0762,251.88
0.0761,251.19
0.0762,254.39
0.0762,253.87
0.0762,253.48
0.0762,252.19
0.0764,252.16
0.0764,255.82
0.0765,249.90
0.0764,253.72
0.0764,256.85
0.0764,251.87
0.0764,255.52
0.0765,254.59
0.0764,253.89
0.0765,254.39
0.0764,254.69
0.0764,252.06
0.0764,255.82
0.0765,250.97
0.0764,254.72
0.0765,251.04
0.0764,254.99
0.0765,254.44
0.0765,253.93
0.0765,253.03
0.0764,252.33
0.0765,252.87
0.0765,253.18
0.0765,252.72
0.0764,252.02
0.0764,256.06
0.0765,250.63
0.0764,253.70
0.0764,257.97
0.0765,251.55
0.0765,255.27
0.0765,254.29
0.0767,253.31
0.0767,257.17
0.0768,255.65
0.0767,257.89
0.0768,257.63
0.0768,257.94
0.0768,256.84
0.0768,259.05
0.0781,253.94
0.0781,257.69
0.0783,258.75
0.0795,259.49
0.0795,257.75
0.0795,255.75
0.0795,259.88
0.0796,258.94
0.0795,259.24
0.0795,259.05
0.0795,260.84
0.0795,261.00
0.0796,257.61
0.0795,255.45
0.0795,259.92
0.0795,262.23
0.0814,256.78
0.0815,259.60
0.0816,257.75
0.0815,256.24
0.0815,260.38
0.0816,262.38
0.0816,259.14
0.0816,262.24
0.0816,261.06
0.0816,259.63
0.0817,258.80
0.0817,256.89
0.0816,261.12
0.0817,258.46
0.0816,257.11
0.0817,260.30
0.0817,259.13
0.0817,257.20
0.0817,261.30
0.0817,256.78
0.0816,261.06
0.0817,259.69
0.0816,259.22
0.0816,262.33
0.0817,257.86
0.0817,261.03
0.0818,260.21
0.0817,258.58
0.0817,261.92
0.0818,260.83
0.0817,260.50
0.0817,263.65
0.0818,259.21
0.0817,262.61
0.0817,261.23
0.0817,259.97
0.0817,263.81
0.0818,263.94
0.0818,264.78
0.0818,264.41
0.0842,259.25
0.0846,263.20
0.0847,266.52
0.0849,262.76
0.0848,261.82
0.0848,264.71
0.0849,265.58
0.0849,264.85
0.0849,266.12
0.0849,266.27
0.0849,264.28
0.0849,262.31
0.0849,265.82
0.0850,261.56
0.0850,263.83
0.0850,266.68
0.0850,265.35
0.0850,263.53
0.0850,267.26
0.0850,267.38
0.0850,266.31
0.0850,266.85
0.0850,267.74
0.0850,267.81
0.0851,267.82
0.0851,266.10
0.0851,267.44
0.0851,267.51
0.0851,268.28
0.0851,268.79
0.0851,262.10
0.0850,265.39
0.0850,268.66
0.0851,265.94
0.0850,262.20
0.0851,263.51
0.0851,264.52
0.0851,265.52
0.0851,265.71
0.0851,265.67
0.0851,265.90
0.0851,266.40
0.0851,266.41
0.0851,267.55
0.0851,266.30
0.0851,265.98
0.0851,268.56
0.0856,261.72
0.0859,265.30
0.0859,268.39
0.0862,262.48
0.0865,265.70
0.0870,265.52
0.0875,265.66
0.0875,264.83
0.0876,263.37
0.0875,267.36
0.0876,266.08
0.0876,264.60
0.0876,265.43
0.0876,266.00
0.0876,267.74
0.0876,264.84
0.0876,267.35
0.0876,265.85
0.0876,269.16
0.0876,267.21
0.0877,267.02
0.0876,267.08
0.0876,269.94
0.0876,265.44
0.0876,267.86
0.0877,266.80
0.0876,265.73
0.0876,266.36
0.0876,266.04
0.0876,270.13
0.0877,269.38
0.0876,268.02
0.0877,262.48
0.0876,266.48
0.0876,269.72
0.0877,264.10
0.0876,265.90
0.0876,269.68
0.0877,264.37
0.0876,268.48
0.0876,271.57
0.0877,266.68
0.0876,269.83
0.0877,268.93
0.0876,267.29
0.0877,267.11
0.0877,267.33
0.0877,270.00
0.0877,269.70
0.0877,270.24
0.0877,270.78
0.0877,270.94
0.0877,271.71
0.0878,268.48
0.0877,267.65
0.0877,267.11
0.0877,266.10
0.0877,270.07
0.0878,268.24
0.0877,266.79
0.0877,269.88
0.0877,269.59
0.0877,268.97
0.0878,266.83
0.0878,264.01
0.0877,268.23
0.0877,270.70
0.0877,270.59
0.0877,269.54
0.0878,268.33
0.0878,266.22
0.0878,270.28
0.0879,272.60
0.0894,266.91
0.0908,270.55
0.0908,274.27
0.0909,266.28
0.0908,270.87
0.0909,273.62
0.0923,267.96
0.0936,271.66
0.0936,275.00
0.0938,270.79
0.0938,275.08
0.0939,275.14
0.0939,274.63
0.0940,275.35
0.0940,274.30
0.0940,273.60
0.0940,273.96
0.0940,274.46
0.0940,275.63
0.0940,275.20
0.0939,276.35
0.0940,275.32
0.0939,275.25
0.0941,276.58
0.0942,271.47
0.0940,268.22
0.0940,272.28
0.0940,275.76
0.0941,275.14
0.0941,274.06
0.0940,278.05
0.0942,276.37
0.0941,276.50
0.0941,277.48
0.0941,278.69
0.0942,272.35
0.0941,275.59
0.0942,271.32
0.0941,274.84
0.0941,277.79
0.0950,273.23
0.0959,275.65
0.0960,274.23
0.0981,271.47
0.0981,275.77
0.0981,278.62
0.0982,273.03
0.0982,277.00
0.0983,271.21
0.0982,274.23
0.0982,278.22
0.0983,276.64
0.0982,276.18
0.0982,279.43
0.0982,277.45
0.0982,275.18
0.0982,279.12
0.0983,276.84
0.0982,277.35
0.0983,277.06
0.0982,273.69
0.0982,277.60
0.0983,276.99
0.0983,275.22
0.0982,279.20
0.0983,278.48
0.0983,277.29
0.0983,280.07
0.0983,275.39
0.0983,278.39
0.0983,277.63
0.0983,275.19
0.0983,279.80
0.0984,277.16
0.0983,275.42
0.0983,278.63
0.0984,276.62
0.0983,273.44
0.0983,278.01
0.0984,277.98
0.0983,278.04
0.0983,277.98
0.0983,277.92
0.0983,275.78
0.0983,275.55
0.0983,278.78
0.0983,276.80
0.0983,276.33
0.0983,277.51
0.0983,277.93
0.0984,275.50
0.0983,274.07
0.0983,278.16
0.0983,281.29
0.0984,277.36
0.0983,279.88
0.0983,274.49
0.0983,277.81
0.0984,277.94
0.0984,277.28
0.0983,281.10
0.0984,274.95
0.0983,277.11
0.0983,280.59
0.0984,281.43
0.0983,279.93
0.0983,281.72
0.0984,281.04
0.0984,280.02
0.0984,280.25
0.0983,281.03
0.0984,281.54
0.0984,281.03
0.0984,281.35
0.0984,282.33
0.0984,279.45
0.0987,277.38
0.0987,279.85
0.0988,279.04
0.1018,277.27
0.1019,281.37
0.1019,284.44
0.1021,276.35
0.1022,279.36
0.1023,283.17
0.1024,281.52
0.1028,281.65
0.1029,284.44
0.1030,278.70
0.1029,282.03
0.1030,281.53
0.1038,280.44
0.1039,284.42
0.1039,282.16
0.1040,280.91
0.1040,284.22
0.1041,283.33
0.1040,281.83
0.1040,285.84
0.1041,277.61
0.1040,281.25
0.1040,285.21
0.1041,281.61
0.1040,284.50
0.1041,285.26
0.1041,285.07
0.1041,280.48
0.1040,283.61
0.1041,283.38
0.1040,282.26
0.1041,285.30
0.1041,286.45
0.1041,287.42
0.1042,279.87
0.1040,284.75
0.1041,287.71
0.1041,280.17
0.1041,282.79
0.1041,287.31
0.1041,286.54
0.1040,286.67
0.1041,286.61
0.1041,287.16
0.1041,283.48
0.1041,287.39
0.1041,283.67
0.1041,281.73
0.1041,285.03
0.1041,285.44
0.1041,284.91
